zip,Borough,city,state_id,population
10001,MANHATTAN,New York,NY,29079.0
10002,MANHATTAN,New York,NY,75517.0
10003,MANHATTAN,New York,NY,53825.0
10004,MANHATTAN,New York,NY,3875.0
10005,MANHATTAN,New York,NY,9238.0
10006,MANHATTAN,New York,NY,4475.0
10007,MANHATTAN,New York,NY,7802.0
10009,MANHATTAN,New York,NY,58341.0
10010,MANHATTAN,New York,NY,31905.0
10011,MANHATTAN,New York,NY,49344.0
10012,MANHATTAN,New York,NY,21846.0
10013,MANHATTAN,New York,NY,28215.0
10014,MANHATTAN,New York,NY,29772.0
10016,MANHATTAN,New York,NY,54297.0
10017,MANHATTAN,New York,NY,14985.0
10018,MANHATTAN,New York,NY,8764.0
10019,MANHATTAN,New York,NY,44276.0
10020,MANHATTAN,New York,NY,0.0
10021,MANHATTAN,New York,NY,39479.0
10022,MANHATTAN,New York,NY,34340.0
10023,MANHATTAN,New York,NY,67468.0
10024,MANHATTAN,New York,NY,62576.0
10025,MANHATTAN,New York,NY,93223.0
10026,MANHATTAN,New York,NY,37113.0
10027,MANHATTAN,New York,NY,65068.0
10028,MANHATTAN,New York,NY,45679.0
10029,MANHATTAN,New York,NY,74848.0
10030,MANHATTAN,New York,NY,30781.0
10031,MANHATTAN,New York,NY,60305.0
10032,MANHATTAN,New York,NY,55579.0
10033,MANHATTAN,New York,NY,53611.0
10034,MANHATTAN,New York,NY,39037.0
10035,MANHATTAN,New York,NY,39082.0
10036,MANHATTAN,New York,NY,30589.0
10037,MANHATTAN,New York,NY,18333.0
10038,MANHATTAN,New York,NY,23342.0
10039,MANHATTAN,New York,NY,30512.0
10040,MANHATTAN,New York,NY,41581.0
10044,MANHATTAN,New York,NY,11998.0
10065,MANHATTAN,New York,NY,31047.0
10069,MANHATTAN,New York,NY,6669.0
10075,MANHATTAN,New York,NY,23865.0
10103,MANHATTAN,New York,NY,0.0
10111,MANHATTAN,New York,NY,0.0
10112,MANHATTAN,New York,NY,0.0
10119,MANHATTAN,New York,NY,0.0
10128,MANHATTAN,New York,NY,59000.0
10153,MANHATTAN,New York,NY,0.0
10162,MANHATTAN,New York,NY,1769.0
10280,MANHATTAN,New York,NY,8668.0
10282,MANHATTAN,New York,NY,5960.0
10301,STATEN ISLAND,Staten Island,NY,39799.0
10302,STATEN ISLAND,Staten Island,NY,19693.0
10303,STATEN ISLAND,Staten Island,NY,25993.0
10304,STATEN ISLAND,Staten Island,NY,45843.0
10305,STATEN ISLAND,Staten Island,NY,41714.0
10306,STATEN ISLAND,Staten Island,NY,57249.0
10307,STATEN ISLAND,Staten Island,NY,14821.0
10308,STATEN ISLAND,Staten Island,NY,29996.0
10309,STATEN ISLAND,Staten Island,NY,34918.0
10310,STATEN ISLAND,Staten Island,NY,25824.0
10312,STATEN ISLAND,Staten Island,NY,63345.0
10314,STATEN ISLAND,Staten Island,NY,93539.0
